"PRECINCT","mean_distance","Distinct IDs"
"01002C",0.794757803740297,1125
"01002D",0.997373398899489,1014
"01001A",1.10440528319436,1229
"01001C",1.10748335358566,905
"01002B",1.11788166977221,919
"01002E",1.2093986547044,949
"01002A",1.37984649769481,1019
"01001B",1.58725933856146,1065
"01002F",7.94846819453103,184
